土地位置建物門牌,緯度,經度,actual_price,xgboost_qmean,xgboost_q0.1,xgboost_q0.25,xgboost_q0.5,xgboost_q0.75,xgboost_q0.9,rf_qmean,rf_q0.1,rf_q0.25,rf_q0.5,rf_q0.75,rf_q0.9,lgb_qmean,lgb_q0.1,lgb_q0.25,lgb_q0.5,lgb_q0.75,lgb_q0.9,nn_qmean,nn_q0.1,nn_q0.25,nn_q0.5,nn_q0.75,nn_q0.9
臺北市大安區大安路二段１１４號四樓之１,25.0305700046153,121.545950035353,28600000.000000000,36287100.0,27840598.0,31205872.0,33430072.0,38496644.0,38497084.0,31354355.223130300,26370531.749608600,28600000.000000000,28600000.000000000,32080175.173601600,36470636.86166160,33671413.96280580,29179298.10614740,31099588.099056100,31958547.471030600,35617700.16429900,38864624.69135020,31646610.0,22814988.0,28708032.0,33326554.0,36478908.0,40471304.0
臺北市文山區辛亥路四段７７巷９２弄９號六樓之６,25.00877999,121.56122,10080000.000000000,9803736.0,8674007.0,8917963.0,9999043.0,10091334.0,11353872.0,10237712.08504700,8397692.530765460,10080000.000000000,10080000.000000000,10697667.051962600,11394348.5287845,8789007.42502248,9280830.95330427,9612786.34366634,9776012.23072672,10048610.271264000,11588889.41214960,11907088.0,8833950.0,9450774.0,10592848.0,12148189.0,13009932.0
臺北市士林區中山北路七段２１９巷６之２號六樓,25.12702999,121.53245,31500000.00000000,25993636.0,22936110.0,24437212.0,29145160.0,31203432.0,32062796.0,28563683.03486920,26045346.512776500,29243973.73822600,31500000.00000000,31500000.00000000,32241747.173651700,28291528.402862200,21150428.46998210,28780762.1419326,30397631.10652160,30917256.535149300,31708371.763821200,29123266.0,21335952.0,23908580.0,28149546.0,31062046.0,34218080.0
臺北市萬華區萬大路４２４巷１７０號,25.020661,121.493489,10100000.000000000,8643915.0,6604389.0,9060629.0,9433144.0,10826463.0,12547807.0,9546420.570125500,8239732.3745347600,10100000.000000000,10100000.000000000,10430310.68639480,11423189.742059500,8189806.270986980,6159292.238488750,8433467.585563840,9355722.497015050,10334199.212264800,12291166.796021400,9324845.0,5799753.0,7460266.5,9588349.0,10693557.0,11820467.0
臺北市文山區和平東路四段８８巷９號六樓,25.0049699959368,121.567179971173,15000000.00000000,12487283.0,10746883.0,12836993.0,14298593.0,14489536.0,15690669.0,13584265.526108600,10476886.488992800,14539944.97926700,15000000.00000000,15359581.427198400,16254320.148702300,12630356.215973900,11429659.804618000,12716720.72867740,13641601.747211700,14980034.63225730,15206632.365295200,14943440.0,12611101.0,13566302.0,15205046.0,16648782.0,17835424.0
臺北市大安區金山南路二段１８８號二十樓,25.028170014279,121.526009990613,66580000.00000000,65054010.0,34629750.0,52469444.0,66544532.0,74185544.0,74577960.0,57562888.72403060,39423439.08837330,56705378.93435900,66580000.00000000,66601106.8060959,68305028.16216980,64563319.82228010,35515441.48541120,65960779.736782700,67733354.4940113,71522685.28483990,79862113.76900730,83901450.0,42907300.0,60056776.0,65173108.0,78180440.0,98290560.0
臺北市大安區忠孝東路四段１８１巷５０號二樓,25.0443599955385,121.550740041561,36999999.99999990,42720052.0,32038160.0,36198756.0,40157504.0,47399750.0,52936976.0,39760244.25868640,34970647.47725640,36999999.99999990,36999999.99999990,41323035.27306270,49868337.36837610,42364825.67800930,31902300.49061540,37013611.110248200,40431127.9600027,45096373.3135619,53474392.4807589,40589892.0,26980636.0,38080596.0,42836730.0,45518388.0,52533230.0
臺北市士林區中山北路六段４４１巷１７之１號五樓,25.1162999845651,121.526920013841,21080000.00000000,19396984.0,17299286.0,20580590.0,21065390.0,21498656.0,23234154.0,20722837.86367010,18862768.421069700,21080000.00000000,21080000.00000000,21917039.91197980,22946904.425285400,19627565.159034400,18695685.29017120,20227904.274293800,21109747.76985680,21535428.773391700,23158861.93232080,19515178.0,18137416.0,18489536.0,20749920.0,22047976.0,23885288.0
臺北市中山區長安東路二段１０５號,25.04853599,121.535252,15300000.000000000,15764013.0,12663478.0,14904414.0,15317317.0,17072032.0,18408462.0,14392842.634423300,12449634.389283100,14539944.97926700,15300000.000000000,15420125.167991000,16035230.044449700,15773011.257271600,12968358.6925821,14900821.84953130,15297121.57287700,17910934.683456600,18598116.49936990,16618832.0,13025996.0,15319566.0,16143972.0,17335520.0,20414668.0
臺北市中山區新生北路二段１５巷１之２號,25.05310442,121.528439,20000000.00000000,20773680.0,17179532.0,18902244.0,21074914.0,23589958.0,24073176.0,20780417.01775940,16623412.509791600,20000000.00000000,20000000.00000000,21519579.125858800,23568980.57999430,21238857.293657800,15997017.380651100,19217523.492776900,21504380.784235600,22758887.66844920,25108807.407843900,19675742.0,15791880.0,20795800.0,21993460.0,23004106.0,25543924.0
臺北市信義區基隆路一段１４１號,25.04306901,121.565851,18104000.000000000,17943692.0,14567237.0,18105928.0,18402318.0,21629698.0,22793068.0,17241684.10397850,14842060.557543600,18104000.000000000,18104000.000000000,18638846.97881840,19854249.633156800,19084513.559624900,14065446.275078300,16625726.03772550,18359910.98941450,21292539.10836050,23020004.585251500,17891916.0,14079465.0,16267332.0,20035780.0,21006770.0,23899370.0
臺北市萬華區康定路２４號八樓之６,25.0375999906275,121.501529971837,3280000.0,4233206.5,3154320.5,3281626.2,3559180.0,4609604.0,6656010.0,3970359.066545750,2986681.3438258100,3280000.0,3280000.0,4516216.443258470,5523531.140194160,4032632.7832824300,2829688.920853980,3281732.1363820100,3781204.2948524900,4200803.55328373,6294713.514255360,4185676.0,3256153.8,3815327.0,4318255.5,5809457.5,6794535.5
臺北市中山區中山北路二段１１５巷３８號二樓,25.0607800181307,121.525010029564,15300000.000000000,16088396.0,12341708.0,15252072.0,15798417.0,17196054.0,19041704.0,16652931.229036800,13635545.329387500,15300000.000000000,15300000.000000000,17364991.410298000,19434760.7572783,15946321.845957300,12590960.721964700,15312715.717805400,16347446.212210700,18333339.31178530,19303863.257609800,16411000.0,12932124.0,15984522.0,16290930.0,17787490.0,20190456.0
臺北市大安區通化街１０２號三樓,25.0296000088703,121.553949975201,9280000.000000010,7368705.5,5529447.0,6365447.0,8559995.0,8743539.0,9277531.0,8178821.094772300,6582815.610260570,9280000.000000010,9280000.000000010,9662206.467948430,10089426.279833200,7698044.150485330,6732375.6341983300,7586124.124678430,8606953.055617460,8890988.169015580,9326575.801028890,8928770.0,5340145.5,7060975.5,8428892.0,9407575.0,10810038.0
