土地位置建物門牌,緯度,經度,actual_price,xgboost_qmean,xgboost_q0.1,xgboost_q0.25,xgboost_q0.5,xgboost_q0.75,xgboost_q0.9,rf_qmean,rf_q0.1,rf_q0.25,rf_q0.5,rf_q0.75,rf_q0.9,lgb_qmean,lgb_q0.1,lgb_q0.25,lgb_q0.5,lgb_q0.75,lgb_q0.9,nn_qmean,nn_q0.1,nn_q0.25,nn_q0.5,nn_q0.75,nn_q0.9,Ensemble_qmean,Ensemble_q0.1,Ensemble_q0.25,Ensemble_q0.5,Ensemble_q0.75,Ensemble_q0.9
臺北市中正區汀州路二段２４４號五樓,25.02166499,121.52454,19499999.99999998,17502036.0,9640870.0,16505142.0,19494976.0,20382686.0,25816256.0,16662901.845188707,13798906.779775435,16097275.328390855,19499999.99999998,19857160.86312776,22679503.43663117,16700539.44644393,11726168.886806056,15446707.10486146,19057101.21352849,21224140.232028827,23458871.06393661,17782774.0,8888907.0,13130765.0,16734359.0,18800990.0,21442634.0,17162062.82290816,11013713.166645372,15294972.35831308,18696609.05338212,20066244.273789145,23349316.125141945
臺北市中山區南京東路一段１３２巷１８號九樓之３,25.05097998,121.526923,24999999.999999963,22521592.0,19064164.0,19547178.0,21840918.0,28543252.0,29853452.0,21967877.76910185,18987242.62637413,19410173.222504087,21656763.038799867,24999999.999999963,29098748.66313301,20398225.16725422,16633344.661181595,18321962.921214603,21362661.21156153,28053863.82059012,29140214.20750114,24142470.0,15375038.0,19083664.0,25259044.0,29898240.0,35744012.0,22257541.234089017,17514947.32188893,19090744.535929672,22529846.56259035,27873838.95514752,30959106.71765854
臺北市北投區尊賢街２４９巷２６號,25.11729802,121.505475,22000000.000000007,23299390.0,13063692.0,21057436.0,23118734.0,26799486.0,30478222.0,21272572.56256892,18945364.746708117,21593129.589993738,22156310.31919641,23350002.966677807,27089969.982987784,24153896.482217774,14582913.563328303,20503331.794423413,23096575.84412821,26357357.08807616,32305898.34325389,21863634.0,12778145.0,17815398.0,23143132.0,25105536.0,31958696.0,22647373.261196673,14842528.827509105,20242323.846104287,22878688.040831156,25403095.51368849,30458196.581560418
臺北市文山區秀明路二段３號八樓,24.99212402,121.574183,58599999.99999994,94912990.0,46129936.0,73126840.0,88368460.0,110772300.0,135280420.0,82979437.08322619,55137718.48929328,73806678.74463466,73930975.8820219,76800000.00000009,94922004.56584868,91858944.42634912,57340833.331677854,71788134.38907221,87501425.21847437,112537674.04114737,130524825.19940037,72849110.0,43295324.0,56306424.0,75460220.0,82538620.0,114424264.0,85650120.37739383,50475952.95524278,68757019.28342672,81315270.27512407,95662148.51028687,118787878.44131225
臺北市北投區尊賢街３０２巷３０號四樓,25.11805319,121.5082871,11900000.00000002,14059124.0,11521457.0,11786584.0,14056952.0,16615124.0,18087876.0,14481924.58601061,10908712.118420577,13313184.177841866,14816780.403086996,15194204.40501669,16658553.954038428,13444463.71204316,11019525.271799693,11895295.113374576,13816886.561961967,16569668.978684582,19106866.229357377,13750534.0,9290156.0,12735200.0,14098760.0,16257593.0,18137936.0,13934011.574513443,10684962.597555067,12432565.82280411,14197344.741262242,16159147.595925318,17997808.04584895
臺北市萬華區環河南路二段１７５巷５號四樓之１,25.03271598,121.492511,9249999.999999989,9682093.0,7263221.0,8317593.5,10006827.0,11544246.0,14812535.0,10089530.813331371,6643901.093911021,8022121.923315892,9969633.061556216,10477315.16592315,11238112.22766574,9419749.768762294,6449019.358673696,8256507.522156314,9231370.2427232,12728939.189443534,17504247.20435051,9917276.0,6193862.0,9102617.0,10296553.0,13640924.0,16344400.0,9777162.395523418,6637500.863146179,8424709.986368053,9876095.826069854,12097856.088841671,14974823.608004062
臺北市文山區景華街１２１巷１７弄３號,24.99674898,121.546036,18600000.000000022,17824338.0,12829062.0,16438474.0,18537596.0,22697018.0,24276332.0,17132474.170251153,12331060.371838352,17229555.185241938,17481759.6855092,20295272.58727622,23286916.71476389,17678477.40053272,13571040.971266543,15971158.743660385,17395229.513675123,21510084.527095005,23352177.475973736,19104312.0,12679261.0,16358653.0,18981836.0,22340956.0,23808240.0,17934900.392695967,12852606.085776225,16499460.23222558,18099105.299796082,21710832.778592806,23680916.54768441
臺北市中山區吉林路３６９號二樓之１８,25.065069,121.53051,8599999.999999996,8530779.0,6655997.5,8599958.0,9207264.0,10488525.0,11761028.0,8806103.555761524,7291717.26617341,7382340.741220748,9058188.692789216,9825778.26731849,11859190.950312268,9777205.205476502,6231961.782736003,7341467.847984692,8742470.943849282,10823803.927225873,13509949.039116688,8551542.0,4668430.5,6955563.5,8570082.0,10171083.0,14103170.0,8916407.440309506,6212026.762227354,7569832.52230136,8894501.409159625,10327297.54863609,12808334.497357238
臺北市中山區吉林路３９７號四樓,25.06580698,121.530533,20200000.000000037,21580372.0,13561645.0,18877492.0,22575350.0,25960638.0,29195400.0,20236339.35797891,15150485.26454364,18153733.526870597,20775314.15957945,24399999.999999996,28081046.886389583,21542652.581298705,12720877.143024454,17987505.750245012,22059380.182975374,26814756.508346666,28618859.910239484,21714436.0,12774612.0,19703080.0,23263110.0,27906842.0,31708964.0,21268449.984819405,13551904.851892022,18680452.819278903,22168288.585638706,26270559.127086665,29401067.699157268
臺北市信義區基隆路二段１４９號四樓之２,25.02688301,121.555634,30000000.00000005,23254860.0,13932803.0,20019200.0,26361764.0,30196484.0,31736130.0,26003740.062066056,22582114.55783787,25099224.946105577,28032476.012646683,30000000.00000005,34136492.028640755,24003514.42555656,15423184.654560838,20409504.284864265,27448183.529785343,29024610.35632116,33599066.83833095,23232868.0,13564206.0,18348520.0,23715012.0,28966212.0,31003802.0,24123745.621905655,16375577.053099677,20969112.30774246,26389358.885608006,29546826.5890803,32618872.716742925
臺北市大安區和平東路三段２１２巷２號,25.02253499,121.553953,60000000.0000001,47286250.0,29612770.0,42435816.0,50236484.0,55072000.0,63417596.0,51616784.92285061,45249277.52525916,51415177.23894364,53521426.09153179,60000000.0000001,63579999.999999896,46173707.34861399,28042511.708039723,41077185.98035599,47639550.87953436,58975365.07578616,59451385.83821353,41673016.0,20762192.0,35226588.0,42776470.0,52769732.0,68595624.0,46687439.56786615,30916687.808324724,42538691.8048249,48543482.74276654,56704274.26894656,63761151.45955336
臺北市中山區民生東路二段９３巷１５號十一樓,25.05862302,121.531057,66499999.99999999,65699180.0,45357796.0,53188684.0,66582620.0,71343944.0,77571440.0,66854505.09591102,55667764.47608137,62641361.35152327,66499999.99999999,67533797.16591921,83134869.73340555,67139115.85113877,47857949.05628912,53011680.86533012,66913617.85499512,69072652.61274499,89403222.51177692,60070410.0,37738948.0,45802388.0,57660164.0,65694292.0,87445784.0,64940802.73676245,46655614.38309263,53661028.55421335,64414100.46374878,68411171.44466606,84388829.06129561
臺北市大安區新生南路一段９７巷３號二樓,25.04120702,121.534087,87467666.99999987,49097750.0,31420224.0,48207664.0,56786584.0,59712290.0,81843220.0,60645942.1477842,49802008.00244889,56736705.54533748,66214291.67150146,87467666.99999987,87467666.99999987,46750960.26506787,35361119.04535668,50194538.37554011,57588463.26943931,57748910.39172968,78344631.08917162,57147760.0,24668460.0,38040308.0,59918216.0,66022396.0,83626010.0,53410603.10321302,35312952.761951394,48294803.980219394,60126888.73523519,67737815.8479324,82820382.02229288
臺北市內湖區安康路３５０號,25.06591301,121.612136,10800000.0,15554168.0,9728649.0,11489680.0,13823270.0,19161132.0,20782676.0,16138055.144362418,9590909.375004152,12490981.292005204,13697278.380801354,15149615.597983614,18378026.26121122,15266897.04354331,10609968.1306142,11856383.522289818,15769289.567353657,19530294.21238225,21871033.138181586,14545359.0,9119022.0,12037155.0,16125446.0,20116346.0,25003320.0,15376119.796976432,9762137.126404587,11968549.953573756,14853820.987038752,18489346.952591464,21508763.8498482
臺北市中正區同安街８０巷２７號,25.02234799,121.519242,23599999.999999996,24003072.0,12016120.0,21913440.0,23585640.0,28079674.0,35648084.0,20202859.9400842,19310836.326955743,21123684.059259675,22891100.602936845,23599999.999999996,30610515.80451132,25106612.567674797,17590448.624708466,19441653.578480147,23774939.23882758,27162558.982044943,33560318.99523869,26749898.0,16143787.0,22095044.0,25155340.0,32570756.0,35871590.0,24015610.62693975,16265297.987916052,21143455.409434956,23851754.960441105,27853247.245511234,33922627.19993751
